text,label
Win money now,spam
Claim your free prize,spam
Congratulations you won,spam
Limited time offer,spam
Free cashback available,spam
Exclusive deal just for you,spam
Urgent offer expires today,spam
You won a lottery,spam
Click here to claim reward,spam
Earn money from home,spam
Hello how are you,ham
Let us meet tomorrow,ham
Are you coming today,ham
Project meeting at 10am,ham
Please review the document,ham
Call me when free,ham
Let us discuss the project,ham
See you in class,ham
Your appointment is confirmed,ham
Thanks for your help,ham
